producto,descripcion,unidad,ult_venta,ult_compra,costo_prom,existencias,ventas_monto,ventas_cant
1010200000,CLEMA TIERRA WPE6 WEIDMULLER VERDE,PZ,,2023-02-24,42.13232,8,0,0
1011000000,CLEMA PORTASFUSIBLE WSI 6 FUS 5X20,PZ,,2023-02-28,64.57,3,0,0
1020100000,CLEMA DE PASO WDU4 WEIDMULLER,PZ,,2023-02-24,16.11,8,0,0
1100100,CABLE THHW-LS CALIBRE 10  AWG NEGRO,M,,2023-02-24,15.3415,20,0,0
1100101,CABLE THHW-LS CALIBRE 10  AWG ROJO,M,,2023-02-24,15.3415,20,0,0
1100102,CABLE THHW-LS CALIBRE 10  AWG AZUL,M,,2023-02-24,15.3415,20,0,0
1100103,CABLE THHW-LS CALIBRE 10  AWG VERDE,M,,2023-02-24,15.3415,20,0,0
1100104,CABLE THHW-LS CALIBRE 10 AWG BLANCO,MT,,2023-02-28,15.3415,20,0,0
1500181,CORDON AUTOM CAL.18 AWG FLEXIBLE  ROJO,PZ,,2023-02-24,3.251,20,0,0
1500183,CORDON AUTOM CAL.18 AWG FLEXIBLE VERDE,PZ,,2023-02-24,3.251,10,0,0
1500184,CORDON AUTOMOTRIZ 18 AWG BLANCO FLEX,PZ,,2023-02-28,3.25,100,0,0
16AMP-6200,"TAPA SANITARIA ESTILO CLAMP 2""",PZ,,2023-02-07,61.348,5,0,0
39121424,TAPA P/CLEMA WEIDMULLER WDU2.5-WDU10,PZ,,2023-02-28,9.436,6,0,0
520623,FUSIBLE EUROPEO 4 AMP 250V,PZ,,2023-02-28,10,3,0,0
5207/CE,CINCHO NATURAL 200X2.6,PZ,,2023-02-24,0.32,100,0,0
5473RBE,BASE NATURAL 27X27,PZ,,2023-02-24,2.455,20,0,0
7 ALECON5/8,"ALETA CONTINUA DE 5/8""	TUS""",M,,2023-03-31,214.01792,26.78,0,0
70007581,"CART. ALTA 1/4 Ø X12 CON 30 CM 200W 24V""",PZ,2023-02-22,2023-02-20,537.35,10,24875.2,14
9810050-ABRAZA,"ABRAZADERA UÑA TUBO RIGIDO 1/2""Ø",PZ,,2023-02-24,1.368,10,0,0
9810100-ABRAZA,"ABRAZADERA UÑA TUBO RIGIDO 3/4""Ø",PZ,,2023-02-24,1.118,10,0,0
ABRAZA1/2Ø55MM,"ABRAZADERA SIN FIN 1/2 X Ø 55 MM""",PZ,,2023-03-31,24.138,4,0,0
AEM33/150PM,GABINETE METALICO 30CMX30CMX15CM,PZ,,2023-02-28,700,1,0,0
AEMX43/200PM,GABINETE DE ACERO INOX 40CMX30CMX20CM,PZ,,2023-02-24,3788.85,1,0,0
AEROPACK-J-1/16,"AEROPACK TIPO J DE Ø1/16""",MT,,2022-11-25,68,0,0,0
AEROPACK-K-1/16,"AEROPACK TIPO K DE Ø 1/16""",MT,,2022-10-10,82.49073,2.98,0,0
AEROPACK-K-1/8,"AEROPACK TIPO ""K"" DE Ø 1/8",MT,,2022-08-29,170,0,0,0
AICERCU,CERAMICO BASE CUADRADA HEMRA IMPORTADA,PZ,2023-08-02,2023-06-30,3.16375,240,1880,210
AICERCUM,CERAMICO BASE CUADRADA MACHO IMPORTADA,PZ,2023-08-02,2023-06-30,3.1608,326,2398,284
AL8020-10,ALAMBRE 8020 CAL.10,M,2023-06-28,2023-04-24,75.60217,32,1797.65,17
AL8020-11,ALAMBRE 8020 CAL.11,MT,2022-08-26,2023-07-06,67.22552,289.2,422.19,4.5
AL8020-12,ALAMBRE 8020 CAL.12,MT,2023-06-28,2023-07-06,46.99595,230.2,2064.2,49.4
AL8020-13,ALAMBRE 8020  CAL.13,MT,2021-07-13,2022-10-31,35.35429,30.5046,22.5,2
AL8020-14,ALAMBRE 8020 CAL.14,MT,2023-07-13,2023-05-26,24.77126,365.6069,31085.43,454.0275
AL8020-15,ALAMBRE 8020 CAL.15,M,2021-12-01,2023-01-16,18.20274,78.1,300,10
AL8020-16,ALAMBRE 8020 CAL.16,M,2023-07-31,2023-07-14,17.95268,496.05,25823.69,860.8
AL8020-18,ALAMBRE 8020 CAL.18,MT,2023-08-08,2023-06-30,7.5139,75.052,12808.16,822.56
AL8020-19,ALAMBRE 8020 CAL.19,MT,2023-07-10,2023-07-24,9.47393,1505.1332,9825.95,711.1
AL8020-20,ALAMBRE 8020 CAL.20,MT,2023-08-08,2023-07-14,6.92972,1222.8348,32448.39,2754.7866
AL8020-21,ALAMBRE 8020 CAL.21,MT,2023-08-07,2023-07-06,5.39791,2702.6306,4882.3,621.46
AL8020-22,ALAMBRE 8020 CAL.22,MT,2023-08-03,2023-07-21,4.84322,4397.4122,9875.42,1311.9
AL8020-23,ALAMBRE 8020 CAL.23,MT,2023-08-08,2023-07-14,4.15387,4489.437,17237.3,2405.8
AL8020-24,ALAMBRE 8020 CAL.24,MT,2023-06-20,2023-04-25,12.27293,65.6674,17148.42,4015.42
AL8020-25,ALAMBRE 8020 CAL.25,MT,2023-05-15,2023-06-30,2.75241,2195.1412,1186.75,105
AL8020-26,ALAMBRE 8020 CAL.26,MT,2023-07-28,2023-05-25,2.15595,5699.828,23914.46,4969.7
AL8020-27,ALAMBRE 8020 CAL.27,MT,2023-04-10,2023-05-25,1.51637,8911.9794,605.79,259.37
AL8020-28,ALAMBRE 8020 CAL.28,MT,2023-06-06,2023-08-07,1.50042,11168.08,809.04,105
AL8020-29,ALAMBRE 8020 CAL.29,MT,2022-06-15,2023-06-30,1.00119,14037.774,64.65,5
AL8020-30,ALAMBRE 8020 CAL.30,MT,2023-06-06,2023-07-24,1.54411,15157.632,1669.17,1428
ALDSD-12,ALAMBRE DSD CAL.12,M,2023-07-06,2023-07-21,4.95,1112.1825,9310,17.5
ALDSD-14,ALAMBRE DSD CAL.14,M,2023-05-24,2023-08-07,3.6,246.2338,11468,2016.1
ALDSD-15,ALAMBRE DSD CAL.15,M,2020-09-10,2022-10-25,3.02027,742.4796,0,0
ALDSD-19,ALAMBRE DSD CAL.19,M,2023-04-26,2023-07-24,1.67689,2725.3667,9847.44,2869.88
ALDSD-20,ALAMBRE DSD CAL.20,M,2023-07-12,2023-07-24,1.44686,1757.846,2631.85,1123.74
ALDSD-5,ALAMBRE DSD CAL.5,M,2022-10-27,2022-11-30,46.57773,0,2075,2.5
ALDSD-6,ALAMBRE DSD CAL.6,M,,2023-03-10,19.8,48,0,0
ALDSD-8,ALAMBRE DSD CAL.8,MT,2020-01-09,2023-03-14,13.2,0,0,0
ALECON 1/2,"ALETA CONTINUA DE 1/2""	TUS""",MT,,2023-06-28,150,79.27,0,0
ALECON3/8,"ALETA CONTINUA DE 3/8""	TUS""",M,,2023-06-28,130.58724,70.84,0,0
ALECON5/16,"ALETA CONTINUA DE 5/16""	TUS""",MT,,2023-06-28,133.89661,53.97,0,0
ALECON7/16,"ALETA CONTINUA DE 7/16""	TUS""",MT,2022-03-31,2023-05-29,137.23026,0,2291,10
ALEJ14,"ELEMENTO TERMOPAR TIPO J"" CAL.14""",MT,2021-02-16,2023-01-30,160,8,0,0
ALEJ8,"ELEMENTO TERMOPAR TIPO J"" CAL.8""",MT,,2023-07-28,251,10,0,0
ALEK14,"ELEMENTO TERMOPAR TIPO K"" CAL.14""",MT,2021-12-01,2023-07-26,75.69405,139.99,145,1
ALEK8,"ELEMENTO TERMOPAR TIPO K"" CAL.8""",MT,2019-09-12,2023-07-26,311.03406,79.57,0,0
ALT-30,"ALAMBRE TIPO ""T"" CAL.30 FORRO TEFLON",MT,,2023-02-28,103,1.5,0,0
ANG1X1X1/8,"ANGULO A/COMUN DE 1""X1"" X1/8",M,,2023-07-06,49.6666,12,0,0
ANGIN1X1X1/8,"ANGULO A/INOX 1""X1""X1/8""",M,,2023-06-30,158.52459,12,0,0
ANILLO-3/16,"ANILLO P/TERMOPAR 3/16Ø INT.X1/4""Ø EXT.""",PZ,,2023-05-29,3.63619,257,0,0
APBAY16,"ADAPTADOR INOX 1G Ø7/16""X1 3/8""-1/8""NPT",PZ,2023-04-11,2023-03-31,33.33333,57,1380,23
BAAC1/8X3,"VARILLA A/COMUN Ø 1/8X 3 MT LONG""",M,,2023-06-09,4.60841,489.67,0,0
BAREDCELORON3/4,"BARRA REDONDA CELORON DE ø3/4""",PZ,,2023-07-06,245.43,2,0,0
BAREDINOX1/4C,"BARRA REDONDA INOX 1/4 Ø""",M,,2023-02-27,25.02414,2.802,0,0
BAREDINOX23/4,"BARRA REDONDA INOX 2 3/4""ø (68MM)",M,,2023-07-19,3333.33,0.045,0,0
BARHEXINOX1 1/4C,"BARRA HEXA INOX 1`1/4""	TUS""",MT,,2023-05-29,-7884.4,0.005,0,0
"BARHEXLAT-3""","BARRA HEXA DE LATON 3""",M,,2022-10-11,16285.46906,6.085,0,0
BARHEXLAT-3/4C,"BARRA HEXA DE LATON 3/4""	TUS""",M,,2023-03-09,733.31,0.6,0,0
BARRAAL 1 1/4,BARRA REDONDA DE ALUMINIO DE 1 1/4,M,,2022-09-28,300,0.26,0,0
"BARRREDLAT2""","BARRA REDONDA LATON 2""",M,,2023-07-19,2799.57143,0.7,0,0
BARRREDRR3/4,"BARRA REDONDA INOX 3/4""	TUS""",M,,2023-07-06,374.56859,2.55,0,0
BARRREDRR3/8,"BARRA REDONDA INOX 3/8 Ø""",M,,2023-01-26,85,2.7,0,0
BAY1G3/16,"BAYONETA 1 GIRO 3/16""ØX17.5MM NIQUELADA",PZ,2023-04-18,2023-07-18,21.27615,239,2160,36
BAY1G5/16,"BAYONETA 1 GIRO 5/16""ØX17.5MM NIQUELADA",PZ,,2022-10-04,25.5,50,0,0
BAY2G1/4,"BAYONETA 2 GIROS 1/4""ØX17.5MM NIQUELADA",PZ,2021-07-14,2022-10-04,22.75,34,290,5
BAY2G1/8,"BAYONETA 2 GIROS 17.5øEXT BARR 1/8"" NIQ",PZ,,2023-04-28,26.5,50,0,0
BAY2G3/16,"BAYONETA 2 GIROS 3/16""ØX17.5MM NIQUELADA",PZ,2022-02-18,2022-10-04,25.38378,239,771.73,16
BAY2G5/16,"BAYONETA 2 GIROS 5/16""ØX17.5MM NIQUELADA",PZ,,2022-10-04,26,49,0,0
BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",PZ,2023-08-02,2023-07-28,300,0,26194.8,60
BB11/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 440V""",PZ,2023-08-02,2023-07-28,310,0,10629.82,24
BB11/4X11/4ST,"BOQUILLA 1X1""  125W 240V""",PZ,2023-08-07,2023-07-28,280,0,9118.78,24
BB2X2ST,"BOQUILLA 2X2""  350W 240V""",PZ,2023-07-14,2023-07-28,300,0,12195.55,26
BCERCOCM2,BLOCK CONEXIÒN P/CABEZA MARINA 2 TERMINA,PZ,2023-07-27,2023-04-05,40.04,0,7667.84,82
BCERCOCM3,BLOCK CONEXIÓN P/CABEZA MAR MINI 3 TERM,PZ,2021-12-03,2022-10-10,63.69565,21,210,2
BCERCOCM4,BLOCK CONEXIÓN P/ CABEZA MAR 4 TERM,PZ,2022-12-01,2022-08-29,45.75138,14,164.18,1
BCERCOCMM3,BLOCK CONEXIÒN P/ CABEZA MAR 3 TERM,PZ,2021-12-01,2023-02-13,100,17,188,2
BCERCOCMM4,BLOCK CONEXIÓN P/CABEZA MAR MINI 4 TERM,PZ,,2023-04-05,122,20,0,0
BINOX5/8X7/16X1,"BUSHING INOXIDABLE 5/8X7/16X1""	TUS""",PZ,,2023-04-28,100,37,0,0
BOR3/161STD,"BORNE DE LATON C/CUERDA STD INT 3/16""	TU",PZ,,2023-07-18,3.91667,120,0,0
BRI15MMX1/2AC,"PLACA ACERO COMUN  Ø118MMX1/2""	TUS""",PZ,,2023-03-09,100,0,0,0
BRI3ACNOM150-4,"BRIDA AC 3 Ø NOM. C/4 BARR CIEGA""",PZ,,2023-04-19,378,0,0,0
BRIACINOX6NOM150,"BRIDA INOX 6""NOM 150 LBS CIEGA",PZ,,2022-12-20,1869,0,0,0
BRIGACNOM 150-8,"BRIDA AC 6Ø NOM. C/8 BARR"" 150 LBS CIEGA",PZ,,2023-06-14,956,0,0,0
BUS3/4X1/2X1 1/2,"BUSHING DE LATON 3/4X1/2X1 1/2 ""TUS""",PZ,,2023-01-16,48.11,16,0,0
BUSLAT1/2X5/16X1,"BUSHING DE LATON  1/2X5/16X1""	TUS""",PZ,,2023-06-26,31.23,35,0,0
BUSLAT3/4X1/2X1,"BUSHING DE LATON 3/4X1/2X1""	TUS""",PZ,,2023-04-14,53.52544,57,0,0
BUSLAT5/5X7/16,"BUSHING DE LATON 5/8X7/16X1""	TUS""",PZ,,2023-08-07,35.7,103,0,0
BUSLAT5/8X5/16X1,"BUSHING DE LATON 5/8X5/16X1""	TUS""",PZ,,2023-01-10,31.48,40,0,0
CABFV-10,CABLE FV CAL.10-300°,M,2023-07-18,2023-06-30,38.65513,400,40163.31,557
CABFV-10200°,CABLE FV C/SILICON CAL.10 200°,MT,2023-04-25,2023-01-16,28.67677,372,18714.57,369
CABFV-10250°,CABLE FV CAL.10-250°,M,2023-07-31,2023-08-03,36.2093,200,208510.64,2274.8
CABFV-12200°,CABLE FV C/SILICON CAL.12 200°,MT,2023-05-16,2023-01-16,25.13434,348,16804.96,405
CABFV-12250°,CABLE FV CAL.12-250°,MT,2023-08-09,2023-07-31,28.16096,179.5,200184.2,2658
CABFV-14250°,CABLE FV CAL.14-250°,MT,2023-08-09,2023-05-29,20.12487,110.1,41270,750
CABFV-16250°,CABLE FV CAL.16-250°,MT,2023-08-04,2023-02-24,14.94959,237.4,18250.35,637
CABFV-18250°,CABLE FV CAL.18-250°,MT,2023-07-19,2023-07-21,8.1337,291.8,17516,631
CABFV-18500°,CABLE FV CAL.18-500°,M,2023-06-22,2023-08-03,19.73087,291.19,2140.54,56
CABFV-20250°,CABLE FV CAL.20-250°,M,2022-10-28,2022-11-10,8.95,181.3,3751.28,209
CABFV-20500°,CABLE FV CAL.20-500°,M,2022-06-15,2023-07-21,15.94996,244.04,85.91,3
CABFV-8,CABLE FV CAL.8-250°,MT,2023-08-08,2023-05-31,78.64422,119.9,62791.43,423.3
CABFVNP-10,CABLE FV CAL.10-500°,MT,2023-06-29,2023-07-21,98.77359,303.4,164769.88,901
CABFVNP-12,CABLE FV CAL.12-500°,MT,2023-07-03,2023-07-24,84.60339,257.8,194401.59,1598.7
CABFVNP-14,CABLE FV CAL.14-500°,MT,2023-07-31,2023-07-21,46.01277,457.22,93150.31,989.4
CABFVNP-16,CABLE FV CAL.16-500°,MT,2023-08-08,2023-07-21,28.80052,431.92,18908.7,270
CABFVNP-8,CABLE FV CAL.8-500°,MT,2023-06-19,2023-06-19,163.17753,112.7,146314.23,564
CABFVS14,CABLE FV C/SILICON CAL.14 200°,M,2023-02-08,2023-02-08,21.78481,451,10640,319
CABFVS16,CABLE FV C/SILICON CAL.16 200°,MT,2023-01-13,2023-01-16,14.65067,300,4950,250
CABLEK20,CABLE P/TERMOPAR MALLA TK CAL.20,MT,2023-08-09,2023-06-30,31.38938,366.71,132899.83,2057
CABMARSTD,CABEZA MARINA DE ALUMINIO STD,PZ,2023-07-31,2023-08-07,168.17,18,5781.89,19
CABP1003HILOSM,CABLE P/PT100 3 HILOS MALLA CAL.24,M,2023-07-12,2023-07-11,22.51071,126.47,4800,100
CABPT100 3 HILOS,CABLE P/PT100 3 HILOS FORRO TEFLON CAL24,MT,2023-06-15,2023-05-31,27.89592,164.3,34007.65,430
CABPT1003HILOPVC,CABLE P/PT100 3 HILOS FORRO PVC CAL.20,M,,2023-01-30,54.62963,77,0,0
CABPT1003HILOSMT,CABLE P/PT100 3 HILOS MALLA/TEFLON C24,MT,2023-03-08,2023-03-09,53,100,9275,100
CABPT100T4,CABLE P/PT100 4 HILOS CAL.24  TEFLON,M,2023-08-04,2022-09-29,68.70928,100,12873.41,159
CABTERFVCK-16,"CABLE P/TERMOPAR FV TIPO K"" CAL.16""",M,2023-04-05,2023-03-31,96.37,72,64161.84,420
CABTERFVCK-20,"CABLE P/TERMOPAR FV TIPO K"" CAL.20""",M,2023-07-13,2023-06-21,30,114,9940,222
CABTERJPVC-20,CABLE P/TERMOPAR PVC TJ CAL.20,M,2023-05-15,2023-01-16,16.43252,222.34,32909.41,943.65
CABTERKPVC-20,CABLE P/TERMOPAR PVC TK CAL.20,M,2022-12-09,2022-11-30,21.20504,87.35,44524.74,979
CABTERM-24,CABLE P/TERMOPAR MALLA TK CAL.24,MT,2022-01-18,2023-01-20,56,195.96,4664.29,58
CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,2023-08-09,2023-06-30,17.35039,16.25,144575.89,3337
CABTERTJ-20,CABLE P/TERMOPAR TEFLON  TJ CAL.20,M,2023-07-12,2023-01-16,30,132.3,25063.84,490
CABTERTJ-24,CABLE P/TERMOPAR MALLA TJ CAL. 24,MT,2022-06-15,2023-06-30,21.28289,137.72,160,2
CABTERTPVC-20,CABLE P/TERMOPAR PVC TT CAL.20,M,2023-06-13,2023-06-09,23.02266,325,84606.29,2202
CABTERTR-20,CABLE P/TERMOPAR FV TIPO R CAL.20,MT,,2023-02-28,105,2.9,0,0
CAJAALUM114X34.8,CAJA DE REGISTRO OVAL 110X34.8 ALUM,PZ,,2022-09-30,42.16,0,0,0
CAJAGRISRESIS,CAJA GRIS P/RESISTENCIA DE GALVANOPLASTI,PZ,,2023-06-16,750,2,0,0
CAJCONCH3/4,"CAJA  CONEXÒN CHICA NARANJA 1 Ø""",PZ,2022-05-13,2023-04-28,66.66667,15,370.33,4
CAJCONG1,"CAJA CONEXIÓN GRANDE NARANJA 1 Ø""",PZ,2021-06-30,2023-04-28,100,14,0,0
CARBONBR,CARBON DE GRAFITO PARA SISTEMA ELECTRICO,PZ,,2023-03-16,46.31,8,0,0
CDINX9Oin1/2NPT,"CODO INOX 304  90° NPT 1/2""	TUS""",PZ,,2022-11-30,42.5,7,0,0
CDROSINOX 1/4,"CONECTOR DOBLEINOX 1/4 BARRENOX1/2X1/2""""",PZ,2021-02-17,2023-07-18,120,44,0,0
CER-CA-058,"CERAMICO P/TUBO DE CUARZO 5/8"" CA-058",PZ,,2023-07-10,39.33333,30,0,0
